  ESTOQUE;;;;;;;;;;;;;
;;;;;;;;;;;;;
;PRODUTO;EM ESTOQUE;COMPRAS;Media C. UNITARIO;Valor Venda Sugerido;VENDAS;;;;;;;
;FONE LENOVO GM2 PRO BLACK;9;13;R$ 24,51;R$ 61,27;4;;;;;;;
;KIT CARREGOR 20W IPHONE CX BRANCO;12;16;R$ 13,83;R$ 34,58;4;;;;;;;
;FONE X15 CX;10;12;R$ 14,05;R$ 35,12;2;;;;;;;
;FONE KZ EDX PRO X NO MIC BLACK;3;5;R$ 15,09;R$ 37,71;2;;;;;;;
;KIT CARREGADOR IPHONE ESSAGER BRANCO;1;3;R$ 15,00;R$ 37,50;2;;;;;;;
;PELUCIA STITCH 20CM AZUL;24;25;R$ 20,00;R$ 50,00;1;;;;;;;
;PELUCIA STITCH 20CM ROSA;20;21;R$ 20,00;R$ 50,00;1;;;;;;;
;CABO ESSAGER USBC X USBC 2MT 100W BLACK;3;4;R$ 14,31;R$ 35,77;1;;;;;;;
;FONTE CARREGADOR ESSAGER 30W USB C;3;4;R$ 13,29;R$ 33,23;1;;;;;;;
;FONE M90 PRO BLACK;3;4;R$ 15,00;R$ 37,50;1;;;;;;;
;RELOGIO POEDAGAR NAUTILUS BLUE;3;4;R$ 50,00;R$ 125,00;1;;;;;;;
;FONE KZ ZSN PRO 2 GOLD NO MIC;2;3;R$ 52,55;R$ 131,38;1;;;;;;;
;KZ EDX PRO NO MIC BLACK;2;3;R$ 20,00;R$ 50,00;1;;;;;;;
;FONE OWS GANCHO TOOCKI BLACK;0;2;R$ 30,00;R$ 75,00;2;;;;;;;
;RELOGIO POEDAGAR BEZEL PRATA CANELADO BLUE C/ DATA;0;1;R$ 50,00;R$ 125,00;1;;;;;;;
;CABO BASEUS USBC 2MT 20W SC;0;1;R$ 20,00;R$ 50,00;1;;;;;;;
;FONE QKZ AK6 VERDE C/ CASE;0;1;R$ 15,00;R$ 37,50;1;;;;;;;
;FONE TWS M10 BLACK;0;1;R$ 11,07;R$ 27,68;1;;;;;;;
;FONE M25 BLACK;15;15;R$ 11,00;R$ 27,50;0;;;;;;;
;FONE KZ ZSN PRO X NO MIC BLACK;12;12;R$ 24,81;R$ 62,02;0;;;;;;;
;KIT CARREGADOR VOLTME 20W C/ CABO USBC;10;10;R$ 17,90;R$ 44,75;0;;;;;;;
;PELUCIA STITCH 22CM PREMIUM;8;8;R$ 20,00;R$ 50,00;0;;;;;;;
;CABO ESSAGER 60W C/ LED USBC;6;6;R$ 13,01;R$ 32,53;0;;;;;;;
;FONE KZ EDX LITE NO MIC TRANSP GREY;5;5;R$ 15,00;R$ 37,50;0;;;;;;;
;FONE MONSTER MQT39 BLACK;5;5;R$ 20,00;R$ 50,00;0;;;;;;;
;KIT CARREGADOR ESSAGER USBC;5;5;R$ 15,88;R$ 39,69;0;;;;;;;
;PELUCIA STITCH 30CM C/ PATINHO;5;5;R$ 30,00;R$ 75,00;0;;;;;;;
;FONE BASEUS E16 EARBUD BLACK;4;4;R$ 22,15;R$ 55,38;0;;;;;;;
;CAIXA DE SOM GO 4 PRO BLACK;4;4;R$ 32,54;R$ 81,34;0;;;;;;;
;FONE REALFIT F2 BLACK;3;4;R$ 20,00;R$ 50,00;1;;;;;;;
;CABO ESSAGER USBC X LIGHTING 2 MTS BLUE;4;4;R$ 14,40;R$ 36,01;0;;;;;;;
;FONE KZ ZSN PRO GREY NO MIC;3;3;R$ 31,81;R$ 79,53;0;;;;;;;
;CARREGADOR HOCO 20W ULTRA FINO USBC E USBA;3;3;R$ 14,43;R$ 36,08;0;;;;;;;
;FONE REALFIT F1 WHITE;0;2;R$ 21,20;R$ 52,99;2;;;;;;;
;FONE REALFIT F1 BLACK;7;7;R$ 15,19;R$ 37,98;0;;;;;;;
;FONTE CARREGADOR BASEUS 20W BLACK;2;2;R$ 20,00;R$ 50,00;0;;;;;;;
;FONE LENOVO XT 53 BLACK;3;3;R$ 26,99;R$ 67,48;0;;;;;;;
;KZ EDX PRO MIC BLACK;5;5;R$ 11,31;R$ 28,28;0;;;;;;;
;KZ EDX PRO NO MIC CRYSTAL;2;2;R$ 20,00;R$ 50,00;0;;;;;;;
;PELUCIA ANGEL 30CM ROSA C/ FLOR;2;2;R$ 35,00;R$ 87,50;0;;;;;;;
;PELUCIA STITCH 30CM C/ CORAÇÃO;2;2;R$ 35,00;R$ 87,50;0;;;;;;;
;RELOGIO POEDAGAR NAUTILUS GREEN;2;2;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR PRX BLUE C/ DETALHES DOURADO;2;2;R$ 50,00;R$ 125,00;0;;;;;;;
;KIT CARREGADOR ESSAGER USBC 20W WHITE;2;2;R$ 17,60;R$ 44,00;0;;;;;;;
;FONE KZ ZSN PRO 2 BLUE BLACK NO MIC;3;3;R$ 55,66;R$ 139,14;0;;;;;;;
;FONE REALFIT F3 BLACK;2;2;R$ 20,31;R$ 50,76;0;;;;;;;
;RELOGIO POEDAGAR PRX BLUE ;2;2;R$ 20,30;R$ 50,74;0;;;;;;;
;FONE KZ ZVX MIC BLACK;2;2;R$ 20,14;R$ 50,35;0;;;;;;;
;FONE KZ ZSN PRO 2 BLUE BLACK MIC;1;1;R$ 28,00;R$ 70,00;0;;;;;;;
;CABO BASEUS USBC 2MT 100W BLACK CX;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;CABO BASEUS USBC 2MT 100W BLUE CX;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;CABO BASEUS USBC LIGHTNING 2MT 20W DARK BLUE CX;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;CABO PARA FONE KZ S/MIC;1;1;R$ 15,00;R$ 37,50;0;;;;;;;
;CARREGADOR ESSAGER 33W USBC USBA BLACK SC;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;FONE GENERICO LENOVO BLACK;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;FONE KZ EDX LITE MIC TRANSP GREY;1;1;R$ 15,00;R$ 37,50;0;;;;;;;
;FONE QKZ AK6 PRO BLACK;1;1;R$ 15,00;R$ 37,50;0;;;;;;;
;FONE REALFIT F2 PINK;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;MAQUINA ACABAMENTO CABELO DOURADA S/ CX;1;1;R$ 40,00;R$ 100,00;0;;;;;;;
;PELUCIA URSINHO 20CM AZUL;1;1;R$ 20,00;R$ 50,00;0;;;;;;;
;RELOGIO CURREN BEZEL PRETO ALL BLACK;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR ALL BLACK;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR BEZEL DOURADO CANELADO C/ DATA;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR BLACK DETALHES DOURADOS;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR BLUE DETALHES DOURADOS;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR NAUTILUS BLACK;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR NAUTILUS GREEN PISCINA;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR OURO ROSE;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO POEDAGAR PRX ALL GOLD;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;RELOGIO RETRO SKMEI PRATA;1;1;R$ 35,00;R$ 87,50;0;;;;;;;
;FONTE CARREGADOR ESSAGER 2 IN 1 USB-A USBC 20W BLACK;1;2;R$ 15,35;R$ 38,36;1;;;;;;;
;CAIXA DE SOM TG659 AZUL;1;1;R$ 32,84;R$ 82,10;0;;;;;;;
;FONE KZ ZVX NO MIC BLACK;1;1;R$ 20,24;R$ 50,60;0;;;;;;;
;FONE KZ CASTPOR SILVER NO MIC;1;1;R$ 20,99;R$ 52,48;0;;;;;;;
;RELOGIO CURREN ESPORTIVO CRONOGRAFO;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;FONE KZ ZVX SILVER NO MIC;1;1;R$ 20,28;R$ 50,70;0;;;;;;;
;RELOGIO CURREN BEZEL PRATA BLUE;1;1;R$ 50,00;R$ 125,00;0;;;;;;;
;FONE KZ ZSN PRO GREY MIC;1;1;R$ 36,24;R$ 90,60;0;;;;;;;
;MAQUINA CABELO KEMEI KM-1071;1;1;R$ 40,00;R$ 100,00;0;;;;;;;
;FONE TWS THINKPLUS LIVEPODS BLACK;1;1;R$ 10,13;R$ 25,33;0;;;;;;;
;FONE QKZ AK6 BLUE C/ CASE;1;2;R$ 11,62;R$ 29,05;1;;;;;;;
;FONE TWS X15 SACO;2;3;R$ 11,53;R$ 28,83;1;;;;;;;
;FONE KZ D-FI BLACK NO MIC;1;1;R$ 31,84;R$ 79,60;0;;;;;;;
;MAQUINA ACABAMENTO KEMEI 2299;1;1;R$ 57,84;R$ 144,60;0;;;;;;;
;MAQUINA ACABAMENTO KEMEI KM-032;1;1;R$ 26,05;R$ 65,13;0;;;;;;;
;FONE TWS T2 C/ CASE;1;1;R$ 11,63;R$ 29,08;0;;;;;;;
;FONE TWS X16 PRO CX;1;1;R$ 14,51;R$ 36,28;0;;;;;;;
;CAIXA DE SOM MINI GENERICA;1;1;R$ 20,30;R$ 50,75;0;;;;;;;
;FONE QKZ AK6 BLACK C/ CASE;1;1;R$ 11,64;R$ 29,10;0;;;;;;;
;FONE TWS M28 SC;1;1;R$ 13,03;R$ 32,58;0;;;;;;;
;FONE TWS N35 GAMER;1;1;R$ 15,92;R$ 39,80;0;;;;;;;
;CAIXA DE SOM MINI C/ LEDS S12;2;2;R$ 14,51;R$ 36,28;0;;;;;;;
;RELOGIO CURREN BEZEL PRATA BLACK 8452;1;1;R$ 36,21;R$ 90,53;0;;;;;;;
;FONE TWS M90 SC;1;1;R$ 11,58;R$ 28,95;0;;;;;;;
;RELOGIO POEDAGAR BLACK SUBMARINER;1;1;R$ 34,81;R$ 87,03;0;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
